product_category_name,predicted_revenue_next_month,R2,MAE
health_beauty,127299.61921180337,0.9601878110317235,5982.85064756184
air_conditioning,3686.6173901264306,0.17620539211384334,911.4192101717266
audio,4904.588989813243,0.2635662649376639,1404.3964125636671
auto,57805.97806441903,0.8805655279948982,4933.231512284626
baby,41633.044288982535,0.7121604171351754,5521.700328316273
bed_bath_table,97056.25335039136,0.6942822157105548,11190.795226054299
computers_accessories,80597.69105719449,0.4196058602144256,17435.466384449992
consoles_games,9939.035748344373,0.15445518695572102,2585.0884326710825
cool_stuff,40329.68152317881,0.10404354193081267,11848.750173446862
diapers_and_hygiene,243.24069353327081,0.1979344293383387,56.34796813495781
electronics,17589.98696688742,0.643298056970198,2972.5129448123616
fashio_female_clothing,191.85471857517985,0.0025813203839428756,114.68567316474486
fashion_bags_accessories,13207.817351778656,0.5194963433948594,2329.5982213438733
fashion_male_clothing,629.8799956287339,0.0006493723479991109,286.4268467832849
fashion_shoes,1539.7452486453944,0.04818170512704534,514.261261431725
fixed_telephony,4544.96080794702,0.106630930875389,1931.0282257962785
food,3746.349157134257,0.38374991093276245,1057.17027149451
furniture_decor,67492.89386815172,0.6848945024286862,8237.740240532094
garden_tools,38472.56100060206,0.3669674691460323,6515.75417505232
housewares,70666.52651234197,0.8883977199993655,5881.846512714659
industry_commerce_and_business,4980.74261697066,0.6415463049131215,922.5649764180475
market_place,980.3815370258881,0.1554271432417813,601.4513091941172
office_furniture,23844.18694340759,0.3049991912977843,5880.450246896591
perfumery,29798.191640577967,0.4591227347942193,4766.59533499613
pet_shop,22372.645311860324,0.8102505856333195,2547.5575397494345
sports_leisure,86730.30442083084,0.6357301625294312,11867.066338522403
telephony,32655.045599638783,0.7745504712980791,3962.5323913878624
toys,35620.53361830222,0.14042293351341462,10736.408710759437
watches_gifts,112745.89212944012,0.823563855764077,10748.50013720937
agro_industry_and_commerce,7294.5835521628505,0.3373657410570905,1779.3324387304135
books_general_interest,4474.8378571428575,0.3831361193841155,992.1648458646614
computers,14337.105248868782,0.015153282419519964,11319.581736860426
dvds_blu_ray,165.0068571428571,0.04873969388950583,241.5904872180451
fashion_underwear_beach,518.7395714285714,0.0018779786643744467,402.3690338345865
furniture_bedroom,1920.6335247610773,0.3466016273583111,381.87407535781244
furniture_living_room,5957.692,0.29459441957589816,1479.3653842105261
home_appliances_2,13285.782000000003,0.6007605788603778,2535.5246736842105
home_comfort_2,24.24816538789429,0.10572458522592565,54.728433808305944
kitchen_dining_laundry_garden_furniture,5186.131000000001,0.4795163352956948,1131.112342105263
luggage_accessories,9754.804857142855,0.037237684028002205,2901.475041353383
music,751.1378941728065,0.1527728905998138,347.5416362070616
musical_instruments,17232.228000000003,0.5679801073803976,3126.817221052632
small_appliances,11414.455428571428,0.035140975062408986,3770.3243812030078
stationery,23367.923142857144,0.3554303799121906,5104.189057142856
books_technical,2485.2751052631584,0.6878105478587406,331.5290212373038
cine_photo,1089.2403455168476,0.41220663879480923,319.1040548258139
construction_tools_construction,22010.48119626969,0.8422645403136582,2986.55050189969
construction_tools_safety,4845.897398190046,0.39371080980823325,1284.1303652230124
costruction_tools_garden,2685.7553095975236,0.2900455272244823,724.1532561796648
home_appliances,9863.997842105262,0.4486738272574672,2096.761484764543
home_confort,3340.6736315789476,0.003270938679893143,1038.8051597414592
home_construction,10383.142947368422,0.7819684753011394,1446.236565096953
tablets_printing_image,0.0,0.4350559602150925,184.80791234140713
art,2083.3154385964913,0.03855257247864541,1170.218213507625
drinks,3084.308817829457,0.39209033905526125,875.626395348837
fashion_sport,67.24473803583578,0.1266599445172727,115.87758059812722
food_drink,1682.6200584795324,0.1663002930788361,621.4914883614265
signaling_and_security,3653.567602339182,0.46415266640973873,1008.6773680388337
books_imported,629.9799186256782,0.6875706135598729,92.85229656419531
christmas_supplies,1011.6699894644426,0.1589483957087665,374.97808933274797
costruction_tools_tools,2047.9906237242005,0.16673544423539144,760.858286621521
furniture_mattress_and_upholstery,666.1888336267606,0.025899547958430635,300.7970782650448
la_cuisine,374.04499999999996,0.05572526965486413,127.09673780487805
arts_and_craftmanship,644.1124509803922,0.4321802201752336,275.39475490196077
fashion_childrens_clothes,82.01113256113254,0.14443105460065397,15.541149721149724
small_appliances_home_oven_and_coffee,7725.2207879295875,0.3072999366512713,2926.730602758515
cds_dvds_musicals,12.08499999999998,0.2983142006690265,65.26738095238095
construction_tools_lights,7771.362000000001,0.820524718218013,1101.0424489795919
party_supplies,623.0656306113724,0.06551027623761485,382.6180240843666
flowers,64.14805555555557,0.40596949477244415,48.71741975308641
