customer_state,predicted_revenue
SP,5857415.742598821
RJ,2085727.4023790022
MG,1885978.1679582223
RS,929890.3086313049
PR,845130.5953459666
BA,639962.7873322358
SC,634020.7288788002
DF,390236.13785514765
GO,377134.0035707422
ES,355776.38181949436
PE,345191.240952129
CE,301856.5240196801
PA,246251.4738382733
MT,212053.66878224316
MA,185732.25811118464
MS,166448.70917062706
PB,160646.00692365027
PI,129825.5979965463
RN,125300.50469438976
AL,119307.89318606394
SE,88342.40662165047
RO,75290.26910652753
TO,71420.61313227119
AM,34464.749173156364
AC,28338.718419395766
AP,18581.10484923143
RR,13158.666957441776
